x	y
2	4
3	5
4	7
5	8
6	9
7	10
8	11
9	12
10	13
11	14
13	15
14	16
15	17
16	18
18	19
19	20
20	21
22	22
23	23
24	24
26	25
27	26
29	27
30	28
31	29
33	30
34	31
36	32
37	33
39	34
41	35
42	36
44	37
45	38
47	39
48	40
50	41
52	42
53	43
55	44
57	45
58	46
60	47
62	48
63	49
65	50
67	51
68	52
70	53
72	54
74	55
75	56
77	57
79	58
81	59
82	60
84	61
86	62
88	63
90	64
91	65
93	66
95	67
97	68
99	69
101	70
102	71
104	72
106	73
108	74
110	75
112	76
114	77
116	78
117	79
119	80
121	81
123	82
125	83
127	84
129	85
131	86
133	87
135	88
137	89
139	90
141	91
143	92
145	93
147	94
149	95
150	96
152	97
154	98
156	99
158	100
160	101
162	102
164	103
167	104
169	105
171	106
173	107
175	108
177	109
179	110
181	111
183	112
185	113
187	114
189	115
191	116
193	117
195	118
197	119
199	120
201	121
203	122
206	123
208	124
210	125
212	126
214	127
216	128
218	129
220	130
222	131
225	132
227	133
229	134
231	135
233	136
235	137
237	138
239	139
242	140
244	141
246	142
248	143
250	144
252	145
255	146
257	147
259	148
261	149
263	150
265	151
268	152
270	153
272	154
274	155
276	156
279	157
281	158
283	159
285	160
287	161
290	162
292	163
294	164
296	165
298	166
301	167
303	168
305	169
307	170
310	171
312	172
314	173
316	174
319	175
321	176
323	177
325	178
328	179
330	180
332	181
334	182
337	183
339	184
341	185
343	186
346	187
348	188
350	189
352	190
355	191
357	192
359	193
362	194
364	195
366	196
369	197
371	198
373	199
375	200
378	201
380	202
382	203
385	204
387	205
389	206
392	207
394	208
396	209
399	210
401	211
403	212
406	213
408	214
410	215
413	216
415	217
417	218
420	219
422	220
424	221
427	222
429	223
431	224
434	225
436	226
438	227
441	228
443	229
445	230
448	231
450	232
452	233
455	234
457	235
460	236
462	237
464	238
467	239
469	240
471	241
474	242
476	243
479	244
481	245
483	246
486	247
488	248
491	249
493	250
495	251
498	252
500	253
503	254
505	255
507	256
510	257
512	258
515	259
517	260
519	261
522	262
524	263
527	264
529	265
532	266
534	267
536	268
539	269
541	270
544	271
546	272
549	273
551	274
554	275
556	276
558	277
561	278
563	279
566	280
568	281
571	282
573	283
576	284
578	285
580	286
583	287
585	288
588	289
590	290
593	291
595	292
598	293
600	294
603	295
605	296
608	297
610	298
613	299
615	300
617	301
620	302
622	303
625	304
627	305
630	306
632	307
635	308
637	309
640	310
642	311
645	312
647	313
650	314
652	315
655	316
657	317
660	318
662	319
665	320
667	321
670	322
672	323
675	324
677	325
680	326
682	327
685	328
687	329
690	330
692	331
695	332
698	333
700	334
703	335
705	336
708	337
710	338
713	339
715	340
718	341
720	342
723	343
725	344
728	345
730	346
733	347
736	348
738	349
741	350
743	351
746	352
748	353
751	354
753	355
756	356
758	357
761	358
764	359
766	360
769	361
771	362
774	363
776	364
779	365
781	366
784	367
787	368
789	369
792	370
794	371
797	372
799	373
802	374
805	375
807	376
810	377
812	378
815	379
817	380
820	381
823	382
825	383
828	384
830	385
833	386
836	387
838	388
841	389
843	390
846	391
849	392
851	393
854	394
856	395
859	396
862	397
864	398
867	399
869	400
872	401
875	402
877	403
880	404
882	405
885	406
888	407
890	408
893	409
895	410
898	411
901	412
903	413
906	414
908	415
911	416
914	417
916	418
919	419
922	420
924	421
927	422
929	423
932	424
935	425
937	426
940	427
943	428
945	429
948	430
950	431
953	432
956	433
958	434
961	435
964	436
966	437
969	438
972	439
974	440
977	441
980	442
982	443
985	444
987	445
990	446
993	447
995	448
998	449
1001	450
1003	451
1006	452
1009	453
1011	454
1014	455
1017	456
1019	457
1022	458
1025	459
1027	460
1030	461
1033	462
1035	463
1038	464
1041	465
1043	466
1046	467
1049	468
1051	469
1054	470
1057	471
1059	472
1062	473
1065	474
1067	475
1070	476
1073	477
1075	478
1078	479
1081	480
1083	481
1086	482
1089	483
1092	484
1094	485
1097	486
1100	487
1102	488
1105	489
1108	490
1110	491
1113	492
1116	493
1118	494
1121	495
1124	496
1126	497
1129	498
1132	499
1135	500
1137	501
1140	502
1143	503
1145	504
1148	505
1151	506
1154	507
1156	508
1159	509
1162	510
1164	511
1167	512
1170	513
1172	514
1175	515
1178	516
1181	517
1183	518
1186	519
1189	520
1191	521
1194	522
1197	523
1200	524
1202	525
1205	526
1208	527
1211	528
1213	529
1216	530
1219	531
1221	532
1224	533
1227	534
1230	535
1232	536
1235	537
1238	538
1241	539
1243	540
1246	541
1249	542
1251	543
1254	544
1257	545
1260	546
1262	547
1265	548
1268	549
1271	550
1273	551
1276	552
1279	553
1282	554
1284	555
1287	556
1290	557
1293	558
1295	559
1298	560
1301	561
1304	562
1306	563
1309	564
1312	565
1315	566
1317	567
1320	568
1323	569
1326	570
1328	571
1331	572
1334	573
1337	574
1339	575
1342	576
1345	577
1348	578
1350	579
1353	580
1356	581
1359	582
1361	583
1364	584
1367	585
1370	586
1373	587
1375	588
1378	589
1381	590
1384	591
1386	592
1389	593
1392	594
1395	595
1397	596
1400	597
1403	598
1406	599
1409	600
1411	601
1414	602
1417	603
1420	604
1423	605
1425	606
1428	607
1431	608
1434	609
1436	610
1439	611
1442	612
1445	613
1448	614
1450	615
1453	616
1456	617
1459	618
1462	619
1464	620
1467	621
1470	622
1473	623
1475	624
1478	625
1481	626
1484	627
1487	628
1489	629
1492	630
1495	631
1498	632
1501	633
1503	634
1506	635
1509	636
1512	637
1515	638
1518	639
1520	640
1523	641
1526	642
1529	643
1532	644
1534	645
1537	646
1540	647
1543	648
1546	649
1548	650
1551	651
1554	652
1557	653
1560	654
1562	655
1565	656
1568	657
1571	658
1574	659
1577	660
1579	661
1582	662
1585	663
1588	664
1591	665
1594	666
1596	667
1599	668
1602	669
1605	670
1608	671
1610	672
1613	673
1616	674
1619	675
1622	676
1625	677
1627	678
1630	679
1633	680
1636	681
1639	682
1642	683
1644	684
1647	685
1650	686
1653	687
1656	688
1659	689
1661	690
1664	691
1667	692
1670	693
1673	694
1676	695
1679	696
1681	697
1684	698
1687	699
1690	700
1693	701
1696	702
1698	703
1701	704
1704	705
1707	706
1710	707
1713	708
1716	709
1718	710
1721	711
1724	712
1727	713
1730	714
1733	715
1735	716
1738	717
1741	718
1744	719
1747	720
1750	721
1753	722
1755	723
1758	724
1761	725
1764	726
1767	727
1770	728
1773	729
1776	730
1778	731
1781	732
1784	733
1787	734
1790	735
1793	736
1796	737
1798	738
1801	739
1804	740
1807	741
1810	742
1813	743
1816	744
1819	745
1821	746
1824	747
1827	748
1830	749
1833	750
1836	751
1839	752
1842	753
1844	754
1847	755
1850	756
1853	757
1856	758
1859	759
1862	760
1865	761
1867	762
1870	763
1873	764
1876	765
1879	766
1882	767
1885	768
1888	769
1891	770
1893	771
1896	772
1899	773
1902	774
1905	775
1908	776
1911	777
1914	778
1917	779
1919	780
1922	781
1925	782
1928	783
1931	784
1934	785
1937	786
1940	787
1943	788
1945	789
1948	790
1951	791
1954	792
1957	793
1960	794
1963	795
1966	796
1969	797
1972	798
1974	799
1977	800
1980	801
1983	802
1986	803
1989	804
1992	805
1995	806
1998	807
2001	808
2004	809
2006	810
2009	811
2012	812
2015	813
2018	814
2021	815
2024	816
2027	817
2030	818
2033	819
2036	820
2038	821
2041	822
2044	823
2047	824
2050	825
2053	826
2056	827
2059	828
2062	829
2065	830
2068	831
2071	832
2073	833
2076	834
2079	835
2082	836
2085	837
2088	838
2091	839
2094	840
2097	841
2100	842
2103	843
2106	844
2109	845
2112	846
2114	847
2117	848
2120	849
2123	850
2126	851
2129	852
2132	853
2135	854
2138	855
2141	856
2144	857
2147	858
2150	859
2153	860
2155	861
2158	862
2161	863
2164	864
2167	865
2170	866
2173	867
2176	868
2179	869
2182	870
2185	871
2188	872
2191	873
2194	874
2197	875
2200	876
2203	877
2205	878
2208	879
2211	880
2214	881
2217	882
2220	883
2223	884
2226	885
2229	886
2232	887
2235	888
2238	889
2241	890
2244	891
2247	892
2250	893
2253	894
2256	895
2259	896
2261	897
2264	898
2267	899
2270	900
2273	901
2276	902
2279	903
2282	904
2285	905
2288	906
2291	907
2294	908
2297	909
2300	910
2303	911
2306	912
2309	913
2312	914
2315	915
2318	916
2321	917
2324	918
2327	919
2330	920
2332	921
2335	922
2338	923
2341	924
2344	925
2347	926
2350	927
2353	928
2356	929
2359	930
2362	931
2365	932
2368	933
2371	934
2374	935
2377	936
2380	937
2383	938
2386	939
2389	940
2392	941
2395	942
2398	943
2401	944
2404	945
2407	946
2410	947
2413	948
2416	949
2419	950
2422	951
2425	952
2428	953
2431	954
2434	955
2437	956
2440	957
2442	958
2445	959
2448	960
2451	961
2454	962
2457	963
2460	964
2463	965
2466	966
2469	967
2472	968
2475	969
2478	970
2481	971
2484	972
2487	973
2490	974
2493	975
2496	976
2499	977
2502	978
2505	979
2508	980
2511	981
2514	982
2517	983
2520	984
2523	985
2526	986
2529	987
2532	988
2535	989
2538	990
2541	991
2544	992
2547	993
2550	994
2553	995
2556	996
2559	997
2562	998
2565	999
2568	1000
2571	1001
2574	1002
2577	1003
2580	1004
2583	1005
2586	1006
2589	1007
2592	1008
2595	1009
2598	1010
2601	1011
2604	1012
2607	1013
2610	1014
2613	1015
2616	1016
2619	1017
2622	1018
2625	1019
2628	1020
2631	1021
2634	1022
2637	1023
2640	1024
2643	1025
2646	1026
2649	1027
2652	1028
2655	1029
2658	1030
2661	1031
2664	1032
2667	1033
2670	1034
2673	1035
2676	1036
2679	1037
2682	1038
2685	1039
2688	1040
2691	1041
2694	1042
2698	1043
2701	1044
2704	1045
2707	1046
2710	1047
2713	1048
2716	1049
2719	1050
2722	1051
2725	1052
2728	1053
2731	1054
2734	1055
2737	1056
2740	1057
2743	1058
2746	1059
2749	1060
2752	1061
2755	1062
2758	1063
2761	1064
2764	1065
2767	1066
2770	1067
2773	1068
2776	1069
2779	1070
2782	1071
2785	1072
2788	1073
2791	1074
2794	1075
2797	1076
2800	1077
2803	1078
2806	1079
2809	1080
2813	1081
2816	1082
2819	1083
2822	1084
2825	1085
2828	1086
2831	1087
2834	1088
2837	1089
2840	1090
2843	1091
2846	1092
2849	1093
2852	1094
2855	1095
2858	1096
2861	1097
2864	1098
2867	1099
2870	1100
2873	1101
2876	1102
2879	1103
2882	1104
2885	1105
2888	1106
2892	1107
2895	1108
2898	1109
2901	1110
2904	1111
2907	1112
2910	1113
2913	1114
2916	1115
2919	1116
2922	1117
2925	1118
2928	1119
2931	1120
2934	1121
2937	1122
2940	1123
2943	1124
2946	1125
2949	1126
2952	1127
2956	1128
2959	1129
2962	1130
2965	1131
2968	1132
2971	1133
2974	1134
2977	1135
2980	1136
2983	1137
2986	1138
2989	1139
2992	1140
2995	1141
2998	1142
3001	1143
3004	1144
3007	1145
3011	1146
3014	1147
3017	1148
3020	1149
3023	1150
3026	1151
3029	1152
3032	1153
3035	1154
3038	1155
3041	1156
3044	1157
3047	1158
3050	1159
3053	1160
3056	1161
3060	1162
3063	1163
3066	1164
3069	1165
3072	1166
3075	1167
3078	1168
3081	1169
3084	1170
3087	1171
3090	1172
3093	1173
3096	1174
3099	1175
3103	1176
3106	1177
3109	1178
3112	1179
3115	1180
3118	1181
3121	1182
3124	1183
3127	1184
3130	1185
3133	1186
3136	1187
3139	1188
3142	1189
3146	1190
3149	1191
3152	1192
3155	1193
3158	1194
3161	1195
3164	1196
3167	1197
3170	1198
3173	1199
3176	1200
3179	1201
3182	1202
3186	1203
3189	1204
3192	1205
3195	1206
3198	1207
3201	1208
3204	1209
3207	1210
3210	1211
3213	1212
3216	1213
3219	1214
3223	1215
3226	1216
3229	1217
3232	1218
3235	1219
3238	1220
3241	1221
3244	1222
3247	1223
3250	1224
3253	1225
3256	1226
3260	1227
3263	1228
3266	1229
3269	1230
3272	1231
3275	1232
3278	1233
3281	1234
3284	1235
3287	1236
3290	1237
3294	1238
3297	1239
3300	1240
3303	1241
3306	1242
3309	1243
3312	1244
3315	1245
3318	1246
3321	1247
3325	1248
3328	1249
3331	1250
3334	1251
3337	1252
3340	1253
3343	1254
3346	1255
3349	1256
3352	1257
3356	1258
3359	1259
3362	1260
3365	1261
3368	1262
3371	1263
3374	1264
3377	1265
3380	1266
3383	1267
3387	1268
3390	1269
3393	1270
3396	1271
3399	1272
3402	1273
3405	1274
3408	1275
3411	1276
3414	1277
3418	1278
3421	1279
3424	1280
3427	1281
3430	1282
3433	1283
3436	1284
3439	1285
3442	1286
3446	1287
3449	1288
3452	1289
3455	1290
3458	1291
3461	1292
3464	1293
3467	1294
3470	1295
3474	1296
3477	1297
3480	1298
3483	1299
3486	1300
3489	1301
3492	1302
3495	1303
3498	1304
3502	1305
3505	1306
3508	1307
3511	1308
3514	1309
3517	1310
3520	1311
3523	1312
3527	1313
3530	1314
3533	1315
3536	1316
3539	1317
3542	1318
3545	1319
3548	1320
3551	1321
3555	1322
3558	1323
3561	1324
3564	1325
3567	1326
3570	1327
3573	1328
3576	1329
3580	1330
3583	1331
3586	1332
3589	1333
3592	1334
3595	1335
3598	1336
3601	1337
3605	1338
3608	1339
3611	1340
3614	1341
3617	1342
3620	1343
3623	1344
3626	1345
3630	1346
3633	1347
3636	1348
3639	1349
3642	1350
3645	1351
3648	1352
3652	1353
3655	1354
3658	1355
3661	1356
3664	1357
3667	1358
3670	1359
3673	1360
3677	1361
3680	1362
3683	1363
3686	1364
3689	1365
3692	1366
3695	1367
3699	1368
3702	1369
3705	1370
3708	1371
3711	1372
3714	1373
3717	1374
3720	1375
3724	1376
3727	1377
3730	1378
3733	1379
3736	1380
3739	1381
3742	1382
3746	1383
3749	1384
3752	1385
3755	1386
3758	1387
3761	1388
3764	1389
3768	1390
3771	1391
3774	1392
3777	1393
3780	1394
3783	1395
3786	1396
3790	1397
3793	1398
3796	1399
3799	1400
3802	1401
3805	1402
3808	1403
3812	1404
3815	1405
3818	1406
3821	1407
3824	1408
3827	1409
3831	1410
3834	1411
3837	1412
3840	1413
3843	1414
3846	1415
3849	1416
3853	1417
3856	1418
3859	1419
3862	1420
3865	1421
3868	1422
3871	1423
3875	1424
3878	1425
3881	1426
3884	1427
3887	1428
3890	1429
3894	1430
3897	1431
3900	1432
3903	1433
3906	1434
3909	1435
3913	1436
3916	1437
3919	1438
3922	1439
3925	1440
3928	1441
3931	1442
3935	1443
3938	1444
3941	1445
3944	1446
3947	1447
3950	1448
3954	1449
3957	1450
3960	1451
3963	1452
3966	1453
3969	1454
3973	1455
3976	1456
3979	1457
3982	1458
3985	1459
3988	1460
3992	1461
3995	1462
3998	1463
4001	1464
4004	1465
4007	1466
4011	1467
4014	1468
4017	1469
4020	1470
4023	1471
4026	1472
4030	1473
4033	1474
4036	1475
4039	1476
4042	1477
4045	1478
4049	1479
4052	1480
4055	1481
4058	1482
4061	1483
4064	1484
4068	1485
4071	1486
4074	1487
4077	1488
4080	1489
4083	1490
4087	1491
4090	1492
4093	1493
4096	1494
4099	1495
4102	1496
4106	1497
4109	1498
4112	1499
4115	1500
4118	1501
4122	1502
4125	1503
4128	1504
4131	1505
4134	1506
4137	1507
4141	1508
4144	1509
4147	1510
4150	1511
4153	1512
4156	1513
4160	1514
4163	1515
4166	1516
4169	1517
4172	1518
4176	1519
4179	1520
4182	1521
4185	1522
4188	1523
4191	1524
4195	1525
4198	1526
4201	1527
4204	1528
4207	1529
4211	1530
4214	1531
4217	1532
4220	1533
4223	1534
